title,author,length
Goroth,Neven Iliev,10 hrs and 55 mins
Haunting Adeline,H. D. Carlton,15 hrs and 44 mins
He Who Fights with Monsters 7,"Shirtaloon,Travis Deverell",18 hrs and 39 mins
Moody,Penelope Ward,8 hrs and 3 mins
Discipline Is Destiny,Ryan Holiday,7 hrs and 17 mins
Codependent No More,Melody Beattie,Not Yet Known
The Ink Black Heart,Robert Galbraith,32 hrs and 42 mins
Desperation in Death,J. D. Robb,13 hrs and 11 mins
The Mad Mage of Sevendor,Terry Mancour,Not Yet Known
Fairy Tale,Stephen King,24 hrs and 6 mins
The Return of the Gods,Jonathan Cahn,8 hrs and 34 mins
Lead the Way,"Jason Anspach,Nick Cole",11 hrs and 37 mins
Tease,Melanie Harlow,9 hrs and 4 mins
The Dark One,Nikki St. Crowe,5 hrs and 31 mins
The Trap,David Icke,18 hrs and 56 mins
Hacked,"Lucy Lennox,May Archer",11 hrs and 14 mins
The Light We Carry,Michelle Obama,Not Yet Known
Revenge,Tom Bower,16 hrs and 23 mins
Strange & Unusual,Lani Lynn Vale,5 hrs and 39 mins
A Grim Baby,M.K. Eidem,6 hrs and 1 min
Royally Not Ready,Meghan Quinn,14 hrs and 31 mins
The Brave Line,Kate Stewart,8 hrs
Carrie Soto Is Back,Taylor Jenkins Reid,10 hrs and 30 mins
The Butcher and the Wren,Alaina Urquhart,7 hrs
Pacchi Festival,Nikita Thorn,21 hrs and 28 mins
Gilded Ghost,Kyle Kirrin,21 hrs and 28 mins
Kill Order,Tate James,15 hrs and 29 mins
Tiger's Daughter,Jennifer Ashley,9 hrs and 40 mins
Mad Man,Onley James,7 hrs and 52 mins
Fractured Freedom,Shain Rose,10 hrs and 27 mins
Oath of Loyalty,"Vince Flynn,Kyle Mills",9 hrs and 23 mins
Forever Protected,Kathleen Brooks,7 hrs and 5 mins
Danger Zone,"Hal Brands,Michael Beckley",8 hrs and 26 mins
Into the Fire,"James Rosone,T.C. Manning",13 hrs and 51 mins
Wiedergeburt,Brandon Varnell,6 hrs and 57 mins
